1 .05 241
1 .10 270
1 .15 696
1 .20 998
1 .25 847
1 .30 1046
1 .35 885
1 .40 740
1 .45 930
1 .50 660
1 .55 936
1 .60 996
1 .65 731
1 .70 948
1 .75 973
1 .80 920
1 .85 870
1 .90 961
1 .95 809
1 1.00 630
2 .05 111
2 .10 468
2 .15 626
2 .20 138
2 .25 518
2 .30 642
2 .35 421
2 .40 687
2 .45 364
2 .50 512
2 .55 760
2 .60 893
2 .65 593
2 .70 1296
2 .75 446
2 .80 621
2 .85 188
2 .90 1600
2 .95 578
2 1.00 501
3 .05 201
3 .10 462
3 .15 236
3 .20 711
3 .25 649
3 .30 634
3 .35 610
3 .40 702
3 .45 618
3 .50 651
3 .55 638
3 .60 698
3 .65 625
3 .70 576
3 .75 668
3 .80 613
3 .85 489
3 .90 777
3 .95 741
3 1.00 677
4 .05 109
4 .10 145
4 .15 419
4 .20 323
4 .25 264
4 .30 352
4 .35 420
4 .40 414
4 .45 374
4 .50 374
4 .55 520
4 .60 335
4 .65 392
4 .70 436
4 .75 219
4 .80 392
4 .85 354
4 .90 1009
4 .95 902
4 1.00 374
