1 .05 172
1 .10 204
1 .15 494
1 .20 708
1 .25 577
1 .30 750
1 .35 633
1 .40 530
1 .45 884
1 .50 800
1 .55 993
1 .60 1056
1 .65 871
1 .70 782
1 .75 818
1 .80 664
1 .85 626
1 .90 727
1 .95 621
1 1.00 459
2 .05 109
2 .10 498
2 .15 676
2 .20 144
2 .25 576
2 .30 724
2 .35 448
2 .40 502
2 .45 295
2 .50 399
2 .55 549
2 .60 662
2 .65 462
2 .70 1166
2 .75 339
2 .80 500
2 .85 163
2 .90 1610
2 .95 497
2 1.00 447
3 .05 200
3 .10 228
3 .15 348
3 .20 532
3 .25 625
3 .30 515
3 .35 564
3 .40 599
3 .45 679
3 .50 704
3 .55 612
3 .60 461
3 .65 633
3 .70 630
3 .75 500
3 .80 782
3 .85 595
3 .90 520
3 .95 634
3 1.00 574
4 .05 126
4 .10 136
4 .15 660
4 .20 579
4 .25 347
4 .30 622
4 .35 437
4 .40 534
4 .45 520
4 .50 1071
4 .55 510
4 .60 484
4 .65 536
4 .70 566
4 .75 454
4 .80 515
4 .85 610
4 .90 538
4 .95 634
4 1.00 1910
