  -50.000000000000000        7.1662947355875298E-024   2.3441097143941065E-023   2.1908244222839094E-023   2.0650615054439986E-023   2.0146884325932953E-023
  -49.799599198396791        2.9135413422941849E-023   9.5302656530626550E-023   8.9070736696734090E-023   8.3957769851144871E-023   8.1909837211531897E-023
  -49.599198396793589        6.6639690171703315E-023   2.1797979495930762E-022   2.0372670555034733E-022   1.9203321152977411E-022   1.8735095023181415E-022
  -49.398797595190381        1.2046100278104075E-022   3.9402995998391166E-022   3.6826530900686612E-022   3.4712836063081963E-022   3.3866497616480642E-022
  -49.198396793587172        1.9142690413514379E-022   6.2616453685030941E-022   5.8521938598485489E-022   5.5162847600596695E-022   5.3817599066161530E-022
  -48.997995991983970        2.8038669516926978E-022   9.1715156731396176E-022   8.5718087641011945E-022   8.0797527502872993E-022   7.8827640889226830E-022
  -48.797595190380761        3.8827798424974298E-022   1.2700724280986421E-021   1.1870315501495972E-021   1.1189145984415322E-021   1.0916337868869184E-021
  -48.597194388777552        5.1606834354800078E-022   1.6880862132835546E-021   1.5777157807632169E-021   1.4871668404965351E-021   1.4509182003531025E-021
  -48.396793587174351        6.6476354259526235E-022   2.1744574745237839E-021   2.0322910568343228E-021   1.9156599866206253E-021   1.8689730822894784E-021
  -48.196392785571142        8.3548026461779646E-022   2.7329020339141423E-021   2.5542253709587940E-021   2.4076461391440904E-021   2.3489801672791895E-021
  -47.995991983967933        1.0293466299351083E-021   3.3670282677693743E-021   3.1468916178225206E-021   2.9663237702764381E-021   2.8940422668087884E-021
  -47.795591182364731        1.2475372473874019E-021   4.0807681109852553E-021   3.8139979038764531E-021   3.5951528427175952E-021   3.5075827103168833E-021
  -47.595190380761522        1.4913888840595217E-021   4.8784178710498129E-021   4.5594853823701031E-021   4.2978612340854208E-021   4.1931929516445050E-021
  -47.394789579158314        1.7622504374998754E-021   5.7643690821959473E-021   5.3875334191385628E-021   5.0784235665855222E-021   4.9547694823022967E-021
  -47.194388777555112        2.0614416673499682E-021   6.7431298481906555E-021   6.3023466527561858E-021   5.9407705863959801E-021   5.7961535899641822E-021
  -46.993987975951903        2.3906534939705157E-021   7.8199544390953831E-021   7.3087673883831212E-021   6.8894987958882216E-021   6.7217494714977833E-021
  -46.793587174348694        2.7513225215228677E-021   8.9997715411886104E-021   8.4114811959226821E-021   7.9289599594057357E-021   7.7360045613478245E-021
  -46.593186372745492        3.1451490480135152E-021   1.0287990253583605E-020   9.6155618166774398E-021   9.0640074037010955E-021   8.8434968480137322E-021
  -46.392785571142284        3.5739720281476058E-021   1.1690726617809944E-020   1.0926584389642363E-020   1.0299888227752102E-020   1.0049324045550414E-020
  -46.192384769539075        4.0396020861770160E-021   1.3213871503565859E-020   1.2350251308231748E-020   1.1641898985573788E-020   1.1358738881824495E-020
  -45.991983967935873        4.5440447175758183E-021   1.4863944580302224E-020   1.3892546596062073E-020   1.3095867264689206E-020   1.2777447977680878E-020
  -45.791583166332664        5.0894849864097945E-021   1.6648108306286910E-020   1.5560062536742380E-020   1.4667824576410270E-020   1.4311262222692006E-020
  -45.591182364729463        5.6779050725380052E-021   1.8573035800538484E-020   1.7359319253145548E-020   1.6363934839611728E-020   1.5966275558045770E-020
  -45.390781563126254        6.3118786241269108E-021   2.0646731616735695E-020   1.9297558776129213E-020   1.8191148252966769E-020   1.7749111894108216E-020
  -45.190380761523045        6.9937628089377899E-021   2.2877312533479979E-020   2.1382390943832929E-020   2.0156507553229700E-020   1.9666911865486309E-020
  -44.989979959919836        7.7261764249855643E-021   2.5273107980673158E-020   2.3621677691712647E-020   2.2267543658698566E-020   2.1726793632588109E-020
  -44.789579158316634        8.5118718971398738E-021   2.7843310100885734E-020   2.6024101988561754E-020   2.4532276948586596E-020   2.3936652597162856E-020
  -44.589178356713425        9.3537552708301942E-021   3.0597250577078823E-020   2.8598120628171989E-020   2.6959063223182099E-020   2.6304782528516621E-020
  -44.388777555110224        1.0254912492714468E-020   3.3545133205043269E-020   3.1353543842382888E-020   2.9556643538974727E-020   2.8839499092368655E-020
  -44.188376753507015        1.1218638770513027E-020   3.6697549695658764E-020   3.4300156652484087E-020   3.2334591639018895E-020   3.1550380500882001E-020
  -43.987975951903806        1.2248404330126636E-020   4.0066185855391310E-020   3.7448934840434841E-020   3.5303105341751085E-020   3.4446925988426397E-020
  -43.787575150300597        1.3347676873081830E-020   4.3662281627831961E-020   4.0810300811303099E-020   3.8472125199265357E-020   3.7539595813621839E-020
  -43.587174348697395        1.4520637834053988E-020   4.7499142181280172E-020   4.4396578726979042E-020   4.1853086619074176E-020   4.0838828687669428E-020
  -43.386773547094187        1.5770977733723853E-020   5.1589309661184273E-020   4.8219829316204965E-020   4.5457714459244249E-020   4.4356504506916964E-020
  -43.186372745490985        1.7103326747744240E-020   5.5947717840410573E-020   5.2293698698588765E-020   4.9298379333806637E-020   4.8104582064213806E-020
  -42.985971943887776        1.8521971438951298E-020   6.0588563710884481E-020   5.6631880442824398E-020   5.3388603198448963E-020   5.2096112830336245E-020
  -42.785571142284567        2.0032112761523270E-020   6.5528341061913350E-020   6.1248969608376802E-020   5.7741635378769736E-020   5.6344385567321836E-020
  -42.585170340681366        2.1638390997216889E-020   7.0783171084637155E-020   6.6161247161469670E-020   6.2372917056082301E-020   6.0864172024959478E-020
  -42.384769539078157        2.3346416223922716E-020   7.6370897014005937E-020   7.1384506403044669E-020   6.7297642753217737E-020   6.5670448178862497E-020
  -42.184368737474948        2.5162314466865525E-020   8.2310816432115971E-020   7.6936762547882734E-020   7.2532644723728853E-020   7.0779329946319071E-020
